,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 6,RNA private topic 8
Gtf2a2,0.8730695,-1.3434374,-1.1907729,-0.3355746,0.3631357,0.34722754,-0.5033308,-1.1032252,0.9192388,-0.62714016,0.2337896
Anxa2,0.38738653,-0.4751616,0.09018339,-0.7963906,-0.51012725,0.06433644,-0.9742993,-0.24197671,0.25112438,0.097510755,-1.0409844
Rnf111,0.7176558,-0.74826,-0.5369173,0.67536557,0.1823167,-0.26853535,-0.11830059,-1.0687335,-0.29219553,0.21538657,0.62960285
Sltm,0.14264275,-0.606587,0.11610851,0.6740602,0.37355837,-0.49112618,0.54390866,-0.57615066,-0.3121357,0.09436315,0.5878019
Mindy2,1.0004588,-1.0709863,-0.039896894,0.018616829,-0.28616074,-0.97968525,0.04920263,-0.8837447,0.20783584,0.081384435,0.27329051
Polr2m,-0.07317017,0.2654508,-0.38530758,-0.09833428,-0.53358984,0.121163115,-0.33418334,0.027765825,0.02466834,0.05759945,-0.4918832
Adam10,0.28355223,-0.81783515,0.022948647,0.011441707,0.5330066,-0.2049853,0.4810285,-0.28823996,-0.035832334,-0.051562116,-0.16244131
Mns1,1.8746299,-4.5228467,-1.4574748,0.8824225,0.84075457,0.42056563,0.6579841,-2.8878036,2.4450376,-0.84720767,0.079938695
Rfx7,0.18309274,-1.4901274,-0.37806892,0.70042187,0.53689057,-0.22373784,0.56618685,-1.1202407,-0.34506205,0.17847592,-0.20846704
Zfp280d,1.4226446,-4.339644,-0.84778297,1.0373609,0.8767333,0.19014089,1.0414137,-3.5560524,0.829891,-0.1634624,0.8076637
