,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,Protein private topic 6,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
30_57,1.4496487,39.396976,1.3320668,1.0498325,0.70322335,1.137704,0.67015034,1.0992944,0.6266686,1.7819086,0.9392571,1.3638619
31_45,1.4311627,27.306803,1.302845,0.8573113,0.7797206,1.0304028,0.38879278,1.0124075,0.4208636,0.6043984,0.7258577,0.8833756
28_87,3.7817104,2.8704903,7.4112935,5.003646,2.4165788,1.8622565,2.0677652,7.125396,2.2081475,1.8857923,1.4555784,1.1617804
35_78,3.0074134,4.2568235,4.5975003,2.5680938,2.7324777,1.0357566,2.5209455,10.5624695,2.610624,1.0003957,0.8511065,8.30077
49_3,2.904408,5.1515007,1.8159151,1.4166256,5.316649,8.252161,1.8190795,2.666408,0.77776384,3.558203,148.16603,2.9319997
29_59,1.3352857,41.797073,1.2030659,0.9306079,0.72594297,0.9295483,0.43827584,1.3959966,0.5087699,1.1773783,0.95415354,3.285123
51_83,1.5839419,41.144596,1.3655772,0.8176868,1.0081642,0.8609132,0.49101707,0.59367216,0.54552406,1.0932107,0.8600887,0.93230313
21_43,1.0369055,92.96509,1.357966,0.7479478,0.478388,0.52866447,0.3754567,0.7161563,0.38312805,0.59891886,0.5414686,0.6058679
33_56,1.3907471,12.745887,1.350415,0.9693894,1.0240545,0.8570351,0.6509819,1.7527952,0.59250534,6.6243143,0.9618766,2.4349322
27_86,13.03333,2.4083567,13.164849,1.1537955,1.6194752,1.399603,2.626226,1.920022,3.255454,0.8148155,1.5065069,0.51800877
59_90,15.9247875,2.4504936,29.692162,1.3056922,1.5624111,1.1627326,2.442331,3.5786405,3.0384135,3.112621,1.7940769,1.0688406
35_31,2.9623952,3.7309763,7.3958125,1.4605441,3.8485823,0.9923423,2.5552416,5.971134,3.6721354,0.83484155,0.8867178,0.94027877
