,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 6,ATAC private topic 9,ATAC private topic 10
774.9021119012651,-0.26095155,-0.0117113115,-0.20923612,-1.7143214,1.7012343,0.4066511,0.9572121,1.424479,0.24726112,0.11592219,-6.2024217,1.5361869,0.9196466,0.8557902,1.9469184,1.5043806
775.4027308716969,-2.0410442,0.22510755,-0.109117694,-4.6687098,1.7539557,0.57824486,1.166434,1.753758,0.4871322,0.33586442,-13.004292,1.3911566,1.0856253,1.0819454,2.2695553,1.0821788
775.903432460491,-4.570894,0.44180033,0.20539732,-4.541722,0.9723415,0.9703165,1.2893026,2.2110834,0.45763552,0.5987339,-12.93196,-0.85840076,1.03269,1.3935133,2.267077,-3.368552
776.4039661244722,-4.4287133,0.072257854,0.5629827,-4.176702,-3.540591,1.4541218,0.9046121,2.7268226,-0.5449644,0.85600984,-12.395407,-3.2740262,-3.2000828,1.8768792,-2.2462304,-3.8665712
796.9161402359701,-0.5458866,0.11387379,-0.13955085,-4.2494593,1.7684364,0.4863392,1.0534798,1.5652994,0.3860566,0.2413497,-11.696378,1.6413134,1.0459868,1.0243243,2.1682804,1.3871876
797.4154612314934,-1.3496493,0.22499336,0.0458365,-4.390308,1.7048396,0.6252349,1.1705474,1.8100921,0.48075354,0.36681423,-12.65478,1.2504637,1.129418,1.1641912,2.359245,0.92661405
797.9165098916963,-4.4997954,0.44452155,0.20998867,-4.5940638,0.95359194,1.0537739,1.3703783,2.3478816,0.37415934,0.614212,-13.114637,-0.263485,0.9197633,1.442073,2.186386,-3.5575886
798.4169615560422,-4.3571577,0.03833691,0.5644982,-4.0125284,-3.8535264,1.4667537,0.99176747,2.6157289,-0.8311052,0.8470281,-12.091162,-3.923874,-2.8198726,1.8956255,-3.070814,-3.767803
818.4274786359504,-0.33069783,0.096161306,-0.15202549,-3.5216045,1.7828194,0.4532784,1.0108776,1.5839835,0.38173968,0.19584276,-10.113756,1.6226356,1.0226101,0.963209,2.0446348,1.4374859
818.9283439183455,-0.6432577,0.10967385,-0.13022183,-3.9188159,1.7627274,0.50501996,1.0269647,1.663775,0.3524324,0.24554135,-9.665203,1.4360104,0.9865765,0.95569706,2.1728303,1.2600378
819.429132422968,-3.9733832,0.27694255,0.10882749,-4.593831,1.6106445,0.76498336,1.1488396,1.8924434,0.44578284,0.43637437,-13.142273,1.2931831,1.1879803,1.1892469,2.4017966,-0.69172037
819.9296502201292,-4.6545396,0.3819933,0.34308615,-4.670599,0.67226857,1.0287828,1.1987638,2.2681425,0.22169648,0.6207604,-13.287288,-2.587935,0.7471344,1.5087209,2.2013457,-3.5947993
820.4302987687867,-4.2273183,0.22255354,0.63100916,-4.134383,-3.9796135,1.4974818,0.87214583,2.7973797,-0.9405143,0.7186037,-12.085595,-3.781778,-3.686273,1.8329549,-3.0804558,-3.7264204
841.9426105287413,-4.424228,0.45098948,0.47292563,-4.4781833,-0.058861893,1.1903017,1.2745112,2.4877715,0.11480809,0.71189904,-12.431624,-2.1222322,0.71859473,1.5846165,1.9105332,-3.726435
842.443289935428,-4.137513,-0.14981546,0.6225401,-3.9051063,-3.8170047,1.5763013,0.37885404,2.8944037,-2.392277,0.81240743,-11.455961,-3.6414511,-3.661616,2.1177537,-3.527487,-3.6980314
855.7394047398545,-1.6408457,-4.164911,-3.805904,3.9697356,-1.1546298,-3.604369,-3.7137961,-3.6379433,-3.9687538,-4.0048547,2.9229777,-2.9828691,-3.3612702,-3.5623593,-2.5048711,2.452309
864.4566041414442,-3.8973825,0.15518196,0.7755549,-3.9469159,-3.8338108,1.7222142,0.46496052,2.708962,-1.2508082,0.89310426,-11.496111,-3.5467587,-3.542156,2.1160197,-3.3287697,-3.5915952
874.7845865062392,-1.3254218,-3.9615014,-3.4917684,3.9492366,-0.79829067,-0.8220048,-4.014576,-3.7719526,-4.328426,-4.126624,3.1072452,-0.92804646,-3.5733104,-3.9269314,-1.7802464,2.1947799
876.7994265118355,-1.5806078,-4.106609,-4.3914638,3.9169369,-0.7682805,-3.5419228,-3.98791,-3.8021948,-4.326854,-4.337912,3.3967924,-2.5446393,-3.4883485,-3.9225533,-2.268845,2.261304
879.7397730424627,-0.97909236,-4.560153,-3.2757757,3.8354425,1.0046883,-2.9875982,-4.5012712,-3.8308358,-4.8053575,-4.7483835,3.6335416,-2.2863023,-3.8108075,-4.30312,0.016418407,2.345425
880.7436150035622,-1.8488826,-3.9813933,-4.3431563,4.00317,-1.1547904,-4.0685706,-3.9167235,-3.427533,-4.22063,-4.144986,3.4743516,-3.2840528,-3.4843283,-3.7360895,-2.424109,2.306883
882.7588778658212,-1.455915,-3.626513,-4.0125003,3.9103944,-0.2696783,-3.8993628,-3.8200965,-3.6436808,-4.2146263,-4.110933,3.0074055,-2.6005905,-3.1575363,-3.7328455,-2.5067618,2.1933305
886.469730388757,-4.065371,-1.9324927,0.82712483,-3.9952822,-3.4926136,1.7454813,-0.69364697,2.7854578,-1.1497866,1.3801459,-11.318793,-2.998911,-3.5137918,1.9833956,-3.1715744,-3.3527355
902.81480752945,-1.7651064,-3.6432433,-4.1448293,3.8388271,-0.5851388,-1.130524,-3.8304381,-3.6680074,-4.0991144,-3.9955354,3.2945623,-2.3252478,-3.4492788,-3.5960479,-2.0535228,2.3012044
905.7553324984265,-1.8394829,-3.989588,-4.5441628,3.8798852,0.07525247,-4.000952,-4.1581216,-3.7257552,-4.510625,-4.34959,2.858685,-2.997259,-3.5824554,-4.004764,-1.7649786,2.406355
906.7590834625811,-1.865269,-3.9537196,-4.0534782,3.7762086,-1.1691481,-4.0405025,-3.7200418,-3.33069,-4.064523,-3.916986,3.4296632,-2.8155742,-3.3982108,-3.6743608,-2.6086013,2.0098574
907.7703952060843,-1.0592468,-4.234102,-4.860966,3.8572912,0.7023895,-4.6269374,-4.3105664,-4.011205,-4.646513,-4.550454,3.8518105,-2.4891312,-3.5359023,-4.182947,-2.4385242,2.4886253
908.4830134545888,-3.7335808,0.18816902,1.2993375,-3.5951407,-3.3338246,1.7486823,-2.3535752,2.6491697,-2.8860404,0.81397015,-10.078846,-3.0388486,-3.3595736,1.2695676,-2.715458,-3.3565698
908.7745114487701,-1.8077832,-3.8680422,-4.4198833,3.9345877,0.061198328,-4.0232234,-3.8104274,-3.5439777,-4.123694,-4.0130324,3.2453377,-2.6862283,-3.4499607,-3.6155696,-1.833857,2.1390848
929.9953015752143,-4.2687383,0.28473875,0.9007668,-4.2468257,-3.9594123,1.585418,-0.98861444,2.7592206,-2.5617623,1.115552,-12.322843,-3.6163075,-2.7012496,2.2265842,-3.3062346,-3.971113
952.0085148819553,-4.187801,-1.1382521,0.8483071,-3.8847754,-3.7753482,1.6627718,-0.1757492,2.8379378,-3.4030285,1.3543252,-11.730793,-3.4883134,-3.5786273,2.242689,-3.6420093,-3.7737348
973.5207398593361,-4.0010624,-0.24098898,0.83953947,-4.093784,-3.8878236,1.6846075,-0.18440591,2.7526166,-0.689927,1.178281,-12.199233,-3.685153,-3.1676006,2.1323462,-3.5032475,-4.0395384
974.0216424123246,-3.8428102,-1.8764879,1.2085923,-3.6649313,-3.5480864,1.8090693,-1.0686898,2.711909,-3.6775508,1.5518181,-10.096831,-3.2096837,-3.1629064,2.206173,-2.9497542,-3.4213314
995.0330679869421,-4.1492434,-1.3153576,0.84211767,-3.958386,-3.8960903,1.7458491,0.17112002,2.8654847,-3.0050945,1.088874,-11.679562,-3.6490893,-3.5801382,2.2872903,-3.6340532,-3.723787
995.5339872845539,-3.960536,-1.1133798,1.1869872,-3.7729638,-3.5090876,1.8979274,0.95217246,2.369132,-3.0624034,1.1687961,-10.203947,-3.2215142,-3.5892088,2.22959,-2.7522678,-3.2147908
