,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Protein private topic 1,Protein private topic 4,Protein private topic 8,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 7,RNA private topic 9
11_13,18.518353,0.79937303,0.609187,0.60590947,0.96906745,0.9892726,0.9762073,28.705776,3.3291814,1.2939149,1.2168599,6.2153435,2.1346197,0.7691321,14.307845,0.81999487,1.5533533,0.87975293
11_14,2.2524261,42.822357,34.074535,1.7222168,0.79732907,1.0806067,9.108795,0.6477744,5.3945303,1.2356515,2.8718495,1.133178,0.9019034,1.0936543,2.030016,1.0998781,13.913154,13.347407
11_15,6.508782,14.534763,0.6982539,1.0997965,0.9268926,0.99224395,1.8975494,5.421526,2.4455261,3.3748567,4.7782235,1.5994492,0.86873233,1.1237655,2.9139354,1.2203419,1.4197447,1.9013633
11_16,2.3318555,0.5827438,0.48186558,0.9989401,64.86761,1.0944762,1.1797626,0.96134174,78.54562,0.20404148,0.9000956,0.8715622,8.787609,0.9908043,1.9179206,0.7387705,0.82287973,2.3750472
11_17,3.705631,2.1461666,5.3350096,1.4596227,0.7479087,1.0725725,2.2458858,0.9502102,2.94464,0.671771,4.9381833,2.0289533,1.2491724,1.8475124,6.6728396,1.0366908,6.908198,1.867116
11_18,11.345135,1.1259022,31.669138,0.9260473,0.7873644,0.92590654,1.6119473,4.047015,4.0141525,1.5703251,1.2051542,1.8256078,0.6834683,0.6942801,1.8668272,1.3630714,13.810408,12.614405
11_19,1.6860943,0.54004234,0.6556642,1.358022,0.82303476,22.971191,1.0278952,0.62160766,4.4338,0.7357827,4.487562,0.9088799,1.0468515,5.9831567,1.7170316,6.113341,0.44724718,0.40738475
11_21,9.088235,1.4299946,2.4238114,0.98358476,0.8125278,0.95379794,1.4308355,2.3766627,2.9294186,0.89055383,6.2522926,2.9640388,1.5409367,1.2334625,27.540306,0.87830424,4.763133,2.0539408
11_22,20.359684,1.4116968,0.8762556,0.7427244,0.7539172,1.22645,1.5328077,1.4717917,2.6704655,1.046915,2.5633373,9.102379,1.1518848,0.6790055,12.591738,0.6914534,1.839212,1.5605587
11_23,13.601023,1.7654703,3.4900908,1.137073,0.66787815,0.81215763,1.4635557,4.0917997,2.5322986,1.917501,3.3595703,7.028869,0.9699912,0.8390071,12.367056,0.6657713,5.7878566,2.1285236
11_24,10.479197,0.8240396,0.6837871,0.9340334,0.89097834,0.931496,1.4683082,27.982815,3.5992987,1.8902804,1.5180312,12.546921,1.9383218,0.49291155,4.991101,0.5854965,1.1449779,1.1635108
11_25,1.6971538,0.7582676,0.6943058,2.2236373,0.8557135,16.339594,0.82293624,0.7998202,4.8385706,0.72580236,9.912774,0.7047026,1.9234232,4.800728,1.9023081,8.156061,0.6115701,0.4908074
11_26,2.8277724,4.0682216,1.2037592,17.128967,1.1291335,1.2328092,2.4962974,0.9785445,3.0118384,0.7219447,16.438967,1.1181625,0.9749383,1.0833946,2.0300875,1.0708306,0.9040867,1.7655944
11_27,1.501221,0.65903234,0.743387,1.1049737,0.7570785,37.181606,0.98230255,0.499156,3.7499452,0.80684876,5.8269978,0.88392955,0.7304228,2.675703,1.8404821,1.0410813,0.43855116,0.30404016
11_28,8.547497,2.7511563,2.2007825,1.8076633,0.7545476,0.7637987,1.6148508,7.9363165,2.3235235,1.8004098,5.9729805,7.7990007,1.3727803,0.4769952,12.448545,0.5898732,3.6213293,1.9787843
11_29,33.632942,1.7971509,1.5468264,0.91708875,0.73291636,0.8853718,1.1687887,4.231211,2.6844783,2.0716157,5.3040066,4.505874,0.83391744,0.74468154,33.92812,0.8174148,7.621202,2.4609709
11_30,16.80484,1.7581298,2.30483,1.0775063,0.6028659,1.1923268,1.2750177,1.2061741,1.837137,1.3918672,1.3518552,4.1045637,1.1914823,0.77812177,38.20265,0.81800574,4.3947964,1.9146237
11_31,2.973443,3.563655,1.0715595,1.3828182,0.672915,5.1160617,1.4677197,0.83395636,4.028725,0.8086509,6.349901,1.9659612,0.7155553,2.4586627,5.49656,8.681605,1.8270844,1.6876267
11_32,3.8215048,2.7341108,1.2966244,6.386006,1.114384,0.9884814,1.3148298,2.3855371,2.6834042,0.65564466,14.162899,3.3188832,1.7394216,0.93858695,52.49289,0.9130562,1.2133248,1.0788844
11_33,30.459763,1.07865,0.8970013,0.9000977,0.72362274,1.1840417,1.4645839,2.3121,2.2730472,1.1596358,2.9141808,10.015203,1.6023952,1.1219985,6.7224617,1.0209825,1.0053631,0.6850426
11_34,21.416264,1.9468795,0.91298306,2.1808763,0.7074797,1.1488173,1.2572305,3.736423,2.7923017,1.1765945,2.0381987,2.5149488,0.7917863,0.9870387,16.026783,1.5557787,4.0971017,2.7935128
11_35,28.447474,0.72297615,0.54389,0.7620778,1.2598112,1.027103,1.2551675,11.324454,3.9863763,1.2185792,0.95435464,14.722873,1.430784,0.8275583,7.1608357,0.7682806,1.2148485,0.88677925
11_36,10.078988,0.88296497,0.6803475,1.1111615,0.9093982,0.9748391,1.4075347,7.959808,2.347031,2.7387662,5.993005,3.0093737,1.8321418,1.3868357,27.784065,2.1337605,1.2861326,0.5668714
11_37,11.544957,0.9126073,0.7446127,0.8416437,0.92137504,1.1439612,1.3639178,6.985158,3.4073725,0.9113369,1.1984775,10.780634,1.7149912,0.8372872,6.697361,1.0361719,1.1687223,1.1158106
11_38,18.635307,1.4486153,31.290113,1.2349023,0.6988916,0.8834609,1.706097,1.2692297,1.987147,1.1887407,3.1133783,7.1403036,1.0586315,0.99161893,27.280106,0.6993613,3.111285,1.4285051
11_39,30.059563,1.0171239,0.9711454,0.9514755,0.99887013,0.914078,1.3083537,3.7913594,5.0984797,1.2587972,1.4295282,16.141697,1.195362,0.6323936,5.141137,1.0822613,0.9515192,0.69312066
11_4,26.558048,0.8545801,0.84485745,0.7320726,0.8041225,1.2572381,1.6453884,1.7732468,2.688911,1.3754393,1.5074654,4.406234,1.0648482,0.8672869,4.7570996,0.7947628,2.3925614,2.0868783
11_40,1.4619927,0.65421593,0.5011615,1.5727735,1.1121218,29.681171,0.8754442,0.4066106,4.0128846,0.69921297,8.250252,0.5882598,0.45092028,6.277201,0.88353896,1.4505836,0.26848564,0.3157171
11_41,136.72488,1.5834374,1.3835039,1.0263802,0.6519141,0.8750098,1.4418677,3.5814962,2.8311353,0.9942768,4.5588284,6.732992,0.8864893,1.1264895,8.33969,0.7823556,2.3253884,1.157974
11_42,42.063625,0.99400616,0.64717656,0.7554141,0.8329557,0.86863047,1.3804221,2.8144357,2.9726686,1.2550529,3.2328682,7.285235,0.814547,0.596751,7.7473516,0.86838037,1.3586801,1.7216465
11_43,5.964437,0.99864656,29.619667,0.9257982,1.0737138,0.98693883,1.6181571,4.94805,9.469202,1.5340928,1.0345142,2.6059241,2.3202949,1.2577306,3.1364524,1.2222605,1.4664553,2.4678867
11_44,2.1999547,0.59058046,0.3981977,0.8939911,21.212793,1.4770465,1.0073047,17.77121,33.935856,0.16890107,2.3471847,1.1084242,33.350822,1.7670294,2.0828176,1.9850898,0.59905356,0.8357454
11_45,3.8429966,2.7718296,0.8540883,15.124252,1.0667074,1.2080792,1.2501218,1.2825887,2.7213101,0.6774549,17.109999,1.7937067,1.0964907,1.2637056,12.026751,1.3233764,1.3569546,0.93619525
11_46,2.350947,1.2249426,26.59288,1.0862682,2.3516128,1.4583268,8.443286,1.1730206,26.358372,1.2755076,0.95394796,1.1614999,1.3629922,1.3426224,2.013806,1.499246,8.324828,17.735468
11_47,1.5794305,0.57963705,0.5850555,0.6087764,0.8739579,46.468773,0.7822821,0.6168467,4.218638,0.80718863,2.9784522,1.1036625,1.2436435,1.236769,1.3911278,1.2048014,0.35518107,0.3508737
11_48,3.051374,28.52242,1.1588569,1.7895088,0.9888921,0.99010444,2.1179676,0.94337475,3.8597875,0.6276468,17.52196,1.4657991,0.60100675,1.1451352,2.3042164,1.0599227,1.3688871,11.310928
11_49,2.667449,1.0097927,27.943357,1.3016639,2.057475,1.3152372,52.76436,0.7323972,30.238186,1.7140133,0.89107895,1.7038023,2.0347922,0.8064747,2.1373525,0.9099265,1.5772258,9.065227
11_5,1.4942092,0.58462596,0.7626606,0.7370969,0.82595336,50.150314,0.75763834,0.5567333,4.4559565,0.91073745,3.3688636,0.8266609,0.8653338,0.7552732,0.98988044,0.86501825,0.29677698,0.33160284
11_50,3.3101673,0.7318126,0.42394304,3.2712393,1.8760943,1.8319604,1.3638482,4.9659996,4.904409,11.262327,2.2820287,1.446791,6.1482015,11.406097,4.8963685,6.5981903,0.5898336,0.44612876
11_51,13.277362,0.9703446,3.6818519,0.73665303,0.8485745,0.9238239,1.6511714,12.541855,4.197793,1.3187972,2.21307,8.369896,1.1628599,0.6754761,3.385447,0.7928798,1.1744355,2.7592256
11_52,2.9622269,2.1557477,1.3683107,83.18736,1.2955008,1.1695623,3.3725538,1.2714279,5.2253017,0.5807975,12.186163,1.6273332,0.85791063,1.4678539,2.0250473,0.7963245,1.1117339,0.36456898
11_53,10.183561,1.917561,1.8053842,1.4925182,0.76316226,0.8612898,1.521452,2.6282597,3.041872,2.156515,3.4358783,4.549757,1.1774594,1.1105657,24.929222,1.1153218,3.3102894,1.5431951
